year,title,authors,venue,publicationDate,citationCount,category,keywordTags,doi,sourceId,url,workType,language,relevanceScore,relevanceReason,abstractSnippet
1910,"On the Occurrence of a Mesocoelic Recess in the Human Brain, and Its Relation to the Sub-Commissural Organ of Lower Vertebrates; with Special Reference to the Distribution of Reissner's Fibre in the Vertebrate Series and Its Possible Function","A. Dendy, G. Nicholls",Unknown venue,1910-08-10,48,General Brain Science and Reviews,human;non-human,10.1098/RSPB.1910.0046,8737533fc94479f57ec10786aacf7b3f5288e2e1,https://doi.org/10.1098/RSPB.1910.0046,paper,unknown,4,brain; brain in title,
1910,Surgery of the Brain and Spinal Cord,White,Unknown venue,1910-05-01,43,General Brain Science and Reviews,,10.1097/00005053-191005000-00019,85827b4aab4a86ab4b010fac609fee81ad98c4a6,https://doi.org/10.1097/00005053-191005000-00019,paper,unknown,4,brain; brain in title,
1910,THE FUNCTIONS OF THE KINÆSTHETIC AREA OF THE BRAIN.,H. Bastian,Unknown venue,1910-03-01,39,General Brain Science and Reviews,,10.1093/BRAIN/32.4.327,5249582a975bd0c795e31b5564bb0d75fc1af44f,https://doi.org/10.1093/BRAIN/32.4.327,paper,unknown,4,brain; brain in title,
1910,A Study of the Dementia Precox Group in the Light of Certain Cases Showing Anomalies or Scleroses in Particular Brain Regions,E. E. Southard,Unknown venue,1910-08-04,31,Clinical Neurology and Neurodegeneration,,10.1056/NEJM191008041630503,9f8bb5a9fa7e8b8bd88e262b950b3452e297a22f,https://doi.org/10.1056/NEJM191008041630503,paper,unknown,4,brain; brain in title,
1910,Cortical lamination and localisation in the brain of the marmoset,"F. Mott, E. Schuster, W. D. Halliburton",Unknown venue,1910-01-14,23,General Brain Science and Reviews,,10.1098/RSPB.1910.0004,53314134feffaabc629ed7ec33fbc90e1ac9064c,https://doi.org/10.1098/RSPB.1910.0004,paper,unknown,5,brain; cortical; brain in title,
1910,"The effects of various fixatives on the brain of the albino rat, with an account of a method of preparing this material for a study of the cells in the cortex",H. D. King,Unknown venue,1910-06-01,17,General Brain Science and Reviews,non-human,10.1002/ar.1090040602,52974beda56ffa752a7bc8f5170b8904c412f18c,https://doi.org/10.1002/ar.1090040602,paper,unknown,8,brain; cortex; brain in title; neuroscience term,
1910,On the percentage of water in the brain and in the spinal cord of the albino rat,H. H. Donaldson,Unknown venue,1910-04-01,15,General Brain Science and Reviews,non-human,10.1002/CNE.920200203,85ff7066b10edb6a634dd6f8be333b8cb3b09e53,https://doi.org/10.1002/CNE.920200203,paper,unknown,4,brain; brain in title,
1910,The evolution of the cerebral cortex,J. Johnston,Unknown venue,1910-04-01,14,General Brain Science and Reviews,,10.1002/AR.1090040402,f3fcfeec0a23efee88ebd4f77674ec6e02f22262,https://doi.org/10.1002/AR.1090040402,paper,unknown,5,cerebral; cortex; neuroscience term,
1910,A STUDY OF THE DEMENTIA PRÆCOX GROUP IN THE LIGHT OF CERTAIN CASES SHOWING ANOMALIES OR SCLEROSES IN PARTICULAR BRAIN-REGIONS,Unknown authors,Unknown venue,1910-07-01,11,Clinical Neurology and Neurodegeneration,,10.1176/AJP.67.1.119,c0e06f5927018cd8cc27a3354499bb97ad2f5d72,https://doi.org/10.1176/AJP.67.1.119,paper,unknown,4,brain; brain in title,
1910,"ON THE RELATION OF THE CATALYTIC ACTIVITY OF THE BLOOD TO THE NUMBER OF RED BLOOD CELLS IN HEALTH, AND TO THE NUMBER OF WHITE BLOOD CELLS AND THE BODY TEMPERATURE IN PERITONITIS","M. Winternitz, J. P. Pratt",Journal of Experimental Medicine,1910-01-01,11,"EEG, MEG, and Electrophysiology",EEG;non-human,10.1084/jem.12.1.1,5ca8ae1a6e98e45f832f7982b67fd796354a039c,https://doi.org/10.1084/jem.12.1.1,JournalArticle,unknown,1,brain,The catalytic activity of the blood of normal rabbits varies almost directly with the volume and number of red blood cells.
