rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1954,Positive reinforcement produced by electrical stimulation of septal area and other regions of rat brain.,"James L Olds, P. Milner",Journal of Comparative and Physiological Psychology,1954-12-01,2998,71,154.51,General Brain Science and Reviews,non-human;stimulation,Positions Positive reinforcement produced by electrical stimulation of septal area and other regions of rat brain. within General Brain Science and Reviews.,"high citation signal (2,998)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1037/H0058775,874ff0cb6e572381a520104ba73fac1e00595eb7,https://doi.org/10.1037/H0058775,,,JournalArticle,unknown,brain; brain in title,
2,1954,Epilepsy and the Functional Anatomy of the Human Brain,R.N.DeJ.,Neurology,1954-06-01,1904,93,157.14,Clinical Neurology and Neurodegeneration,human,Positions Epilepsy and the Functional Anatomy of the Human Brain within Clinical Neurology and Neurodegeneration.,"high citation signal (1,904); recognized venue; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1212/WNL.4.6.484,d77e7107b5dfbaf51b68e21036ecfb43f541db1e,https://doi.org/10.1212/WNL.4.6.484,,,paper,unknown,brain; brain in title,
3,1954,Design for a Brain,"J. Krauskopf, W. R. Ashby",Unknown venue,1954-06-01,1011,18,135.55,General Brain Science and Reviews,,Positions Design for a Brain within General Brain Science and Reviews.,"high citation signal (1,011); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.2307/1418660,ad3ca5c81110b8cd1dc4caaf4594fc08890b77d2,https://doi.org/10.2307/1418660,https://www.biodiversitylibrary.org/itempdf/30296,,paper,unknown,brain; brain in title,
4,1954,The quantitative histochemistry of brain. II. Enzyme measurements.,"O. H. Lowry, Nira R. Roberts, Mei-Ling Wu, W. S. Hixon, E. Crawford",Journal of Biological Chemistry,1954-03-01,946,11,134.36,General Brain Science and Reviews,,Positions The quantitative histochemistry of brain. II. Enzyme measurements. within General Brain Science and Reviews.,high citation signal (946); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/S0021-9258(18)71242-8,6dc63bce66a34fd86e58af8989be2d8d77153469,https://doi.org/10.1016/S0021-9258(18)71242-8,https://doi.org/10.1016/s0021-9258(18)71242-8,,JournalArticle,unknown,brain; brain in title,
5,1954,The quantitative histochemistry of brain. I. Chemical methods.,"O. H. Lowry, N. R. Roberts, K. Leiner, M. Wu, A. Farr",Journal of Biological Chemistry,1954-03-01,879,3,130.04,General Brain Science and Reviews,,Positions The quantitative histochemistry of brain. I. Chemical methods. within General Brain Science and Reviews.,high citation signal (879),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,b13eb465cef540d46df43fcf214df116a4e8ecca,https://www.semanticscholar.org/paper/b13eb465cef540d46df43fcf214df116a4e8ecca,,,JournalArticle,unknown,brain; brain in title,
6,1954,Substrate specificity of brain hexokinase.,"A. Sols, R. Crane",Journal of Biological Chemistry,1954-10-01,509,12,124.42,General Brain Science and Reviews,non-human,Positions Substrate specificity of brain hexokinase. within General Brain Science and Reviews.,high citation signal (509); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0021-9258(18)65384-0,9d76086f30b2fabb4d5afb55d429ef6726747d57,https://doi.org/10.1016/s0021-9258(18)65384-0,https://doi.org/10.1016/s0021-9258(18)65384-0,,JournalArticle,unknown,brain; brain in title,
7,1954,A Brain Extract as a Substitute for Platelet Suspensions in the Thromboplastin Generation Test,"W. N. Bell, H. Alton",Nature,1954-11-06,485,21,132.55,General Brain Science and Reviews,non-human,Positions A Brain Extract as a Substitute for Platelet Suspensions in the Thromboplastin Generation Test within General Brain Science and Reviews.,high citation signal (485); recognized venue,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/174880A0,f64b0497b592787899538a440a79cdaa27611354,https://doi.org/10.1038/174880A0,,,JournalArticle,unknown,brain; brain in title,
8,1954,Cytoarchitecture of the Human Brain Stem,P.I.Y.,Neurology,1954-11-01,416,28,129.8,Clinical Neurology and Neurodegeneration,human,Positions Cytoarchitecture of the Human Brain Stem within Clinical Neurology and Neurodegeneration.,high citation signal (416); recognized venue; human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1212/WNL.4.11.881,362d091e74c10657f06dcf7f84e65edfd236cc30,https://doi.org/10.1212/WNL.4.11.881,,,paper,unknown,brain; brain in title,
9,1954,Tonus sympathique et activité électrique corticale,"M. Bonvallet, P. Dell, G. Hiebel",Unknown venue,1954,391,0,112.48,General Brain Science and Reviews,,Positions Tonus sympathique et activité électrique corticale within General Brain Science and Reviews.,high citation signal (391); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0013-4694(54)90011-5,f39c05baf50016ebe1730865901ee8bc6715137e,https://doi.org/10.1016/0013-4694(54)90011-5,https://doi.org/10.1016/0013-4694(54)90011-5,,paper,unknown,cortical,
10,1954,The Living Brain,R. Tredgold,Mental Health,1954,328,12,113.53,"EEG, MEG, and Electrophysiology",EEG,It is not possible in the space of a brief notice here to do any s?rt of justice to this remarkable book.,high citation signal (328),"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/archneurpsyc.1953.02320350138018,22d1142b740b408d586055a18bf136dceff3ceeb,https://doi.org/10.1001/archneurpsyc.1953.02320350138018,,,paper,unknown,brain; brain in title,"It is not possible in the space of a brief notice here to do any s?rt of justice to this remarkable book. Its author's name is, of course, enough to indicate that it deals with electroencephalography, but no one should suppose that this is all it does. Dr. Walter discusses the information this new technique has made available on the process of learning, and in his phrase on ""intimations of personality."" This is, of course, a long trek from the view, still all too common, that E.E.G. can be used to detect epileptics and a few psychopaths. The whole mechanism of the brain has been opened to fresh study; and the first fruits are being presented here. The author's style is worthy of his subject; it is always clear and assured; but it also scintillates with many a beautifully turned phrase, or allusion, which explain or underline, but never distort, his scientific statements; even doggerel has its place in clarification. Many will find his last chapter most stimulating of all : ""The prain tomorrow."" We see to our horror the pace of life increasing,"
