rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1964,EVIDENCE FOR THE EXISTENCE OF MONOAMINE-CONTAINING NEURONS IN THE CENTRAL NERVOUS SYSTEM. I. DEMONSTRATION OF MONOAMINES IN THE CELL BODIES OF BRAIN STEM NEURONS.,"A. Dahlstroem, K. Fuxe",Acta Physiologica Scandinavica Supplementum,1964,4929,79,170.26,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Positions EVIDENCE FOR THE EXISTENCE OF MONOAMINE-CONTAINING NEURONS IN THE CENTRAL NERVOUS SYSTEM. I. DEMONSTRATION OF MONOAMINES IN THE CELL BODIES OF BRAIN STEM NEURONS. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (4,929)","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",,2fd6a37c7f99bae138a280f8ed5589c287fb5865,https://www.semanticscholar.org/paper/2fd6a37c7f99bae138a280f8ed5589c287fb5865,,JournalArticle,unknown,brain; neuron; brain in title; neuroscience term,
2,1964,Contingent Negative Variation : An Electric Sign of Sensori-Motor Association and Expectancy in the Human Brain,"W. Walter, R. Cooper, V. J. Aldridge, W. Mccallum, A. Winter",Nature,1964-07-25,2417,80,161.43,General Brain Science and Reviews,human,Positions Contingent Negative Variation : An Electric Sign of Sensori-Motor Association and Expectancy in the Human Brain within General Brain Science and Reviews.,"high citation signal (2,417); recognized venue; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1038/203380A0,a20369f96ca4d73fbe25cc9e099b0f9ad57eb4a9,https://doi.org/10.1038/203380A0,,JournalArticle,unknown,brain; brain in title,
3,1964,EFFECT OF ISCHEMIA ON KNOWN SUBSTRATES AND COFACTORS OF THE GLYCOLYTIC PATHWAY IN BRAIN.,"O. H. Lowry, J. Passonneau, F. X. Hasselberger, D. W. Schulz",Journal of Biological Chemistry,1964,2066,35,152.81,"EEG, MEG, and Electrophysiology",ECoG;non-human,This is a record of the concentrations of the nonenzyme components of the Embden-Meyerhof system in mouse brain measured at brief intervals after the production of complete ischemia by decapitation.,"high citation signal (2,066); open-access PDF metadata","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0021-9258(18)51740-3,38ef16e207bd85a3b47bd671118c97abd720e531,https://doi.org/10.1016/s0021-9258(18)51740-3,https://doi.org/10.1016/s0021-9258(18)51740-3,JournalArticle,unknown,brain; ecog; brain in title,"This is a record of the concentrations of the nonenzyme components of the Embden-Meyerhof system in mouse brain measured at brief intervals after the production of complete ischemia by decapitation. All of the 18 recognized active components were looked for. Of these, 1,3-diphosphoglycerate did not reach levels measurable by the procedures used. Additional substances determined were glycogen, phosphocreatine, creatine, adenosine 5'-phosphate, cu-glycerophosphate, and triphosphopyridinenucleotide and its reduced form. The pyridine nucleotide values are only provisional. Considerable attention is devoted to methodology, since there are numerous possibilities for serious errors in preparation of samples as well as in the analyses for individual substrates. The substances measured account for all the known significant sources of energy available to the brain after its blood supply is cut off. Therefore it is possible to calculate the metabolic rate during the brief period of survival, as well as the time sequence according to which the brain taps its reserve sources of energy. Ischemia resulted in increases in glycolytic rates of at least 4to 7-fold in different experimental groups of mice. The coincident changes in substrate concentrations show which steps were facilitated to make this increase in flux take place, i.e. which steps control glycolysis in brain. These steps are the phosphorylations of glucose and fructose 6-phosphate, and the phosphorolysis of glycogen. There is no evidence that facilitation occurs at any other step in the glycolytic pathway."
4,1964,The Cerebral Cortex,"R. Druga, Cortex Cerebri",Unknown venue,1964-10-01,1294,37,138.99,General Brain Science and Reviews,,Positions The Cerebral Cortex within General Brain Science and Reviews.,"high citation signal (1,294)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/b978-1-4831-6771-8.50020-9,a8f2a2261a9f44db8604d50845446974e28fd8cb,https://doi.org/10.1016/b978-1-4831-6771-8.50020-9,,Review,unknown,cerebral; cortex; neuroscience term,
5,1964,The action of brief polarizing currents on the cerebral cortex of the rat (1) during current flow and (2) in the production of long-lasting after-effects,"L. Bindman, O. Lippold, J. Redfearn",Journal of Physiology,1964-08-01,955,48,137.73,General Brain Science and Reviews,non-human,Positions The action of brief polarizing currents on the cerebral cortex of the rat (1) during current flow and (2) in the production of long-lasting after-effects within General Brain Science and Reviews.,high citation signal (955); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1113/jphysiol.1964.sp007425,fe1377a8cc6de61c46ece980fb967af70d0c8485,https://doi.org/10.1113/jphysiol.1964.sp007425,https://doi.org/10.1113/jphysiol.1964.sp007425,JournalArticle,unknown,cerebral; cortex; neuroscience term,
6,1964,Hyperbaric oxygen therapy,F. Fegan,Western Journal of Medicine,1964-04-01,940,64,137.44,"Cerebrovascular, Metabolism, and Brain Injury",non-human,"The extent and progression of neurological impairment in traumatic brain injury depend significantly on the area of perilesional gloom, where neuronal apoptosis occurs.",high citation signal (940); open-access PDF metadata,"Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1093/BJACEPD/1.5.150,dd206c83e7f3e04c7f4196a3ee46817256a8b6b1,https://doi.org/10.1093/BJACEPD/1.5.150,https://doi.org/10.1093/bjacepd/1.5.150,JournalArticle; Review,unknown,brain; neuron; neuroscience term,"The extent and progression of neurological impairment in traumatic brain injury depend significantly on the area of perilesional gloom, where neuronal apoptosis occurs. Inhibition of apoptosis becomes a therapeutic strategy to preserve brain tissue and promote functional recovery. Hyperbaric oxygen therapy is a treatment by which 100% oxygen is administered, with the aim of achieving a higher pressure than atmospheric pressure at sea level, to decrease ischemia and intensity of inflammatory processes triggered, compromising the viability of the tissues. For mild traumatic brain injury, studies indicate that hyperbaric oxygen therapy is no better than sham treatment. For acute treatment of moderate to severe traumatic brain injury, although the methodology is questionable in certain studies due to the complexity of the brain injury, hyperbaric oxygen therapy has been shown to be beneficial as a relatively safe adjunctive therapy. The objective of this review is to discuss aspects related to the pathophysiology of traumatic brain injury, the mechanism of action of hyperbaric oxygen therapy, and correlate these results with the use of this therapy in the prevention of neuronal injury, supported by original studies reported in the scientific literature"
7,1964,TERMINOLOGY AND CLASSIFICATION OF CEREBRAL PALSY,M. Bax,Developmental Medicine & Child Neurology,1964-06-01,780,17,133.89,"Brain Development, Plasticity, and Connectomics",,"Positions TERMINOLOGY AND CLASSIFICATION OF CEREBRAL PALSY within Brain Development, Plasticity, and Connectomics.",high citation signal (780); recognized venue,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1111/j.1469-8749.1964.tb10791.x,d88368e604fdf063d2bb6ae6da59af793ebba114,https://doi.org/10.1111/j.1469-8749.1964.tb10791.x,,JournalArticle,unknown,cerebral,
8,1964,CORTICAL CELLULAR PHENOMENA IN EXPERIMENTAL EPILEPSY: INTERICTAL MANIFESTATIONS.,"H. Matsumoto, C. Marsan",Experimental Neurology,1964-04-01,758,9,133.38,Clinical Neurology and Neurodegeneration,,Positions CORTICAL CELLULAR PHENOMENA IN EXPERIMENTAL EPILEPSY: INTERICTAL MANIFESTATIONS. within Clinical Neurology and Neurodegeneration.,high citation signal (758); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0014-4886(64)90025-1,c8ac07eef70efeb68db46b103245b591914be352,https://doi.org/10.1016/0014-4886(64)90025-1,,JournalArticle,unknown,cortical,
9,1964,"Chemical and Anatomical Plasticity of Brain Changes in brain through experience, demanded by learning theories, are found in experiments with rats","E. Bennett, M. Diamond, D. Krech, M. Rosenzweig",Unknown venue,1964-10-30,663,5,126.17,Cognitive and Systems Neuroscience,non-human,"Positions Chemical and Anatomical Plasticity of Brain Changes in brain through experience, demanded by learning theories, are found in experiments with rats within Cognitive and Systems Neuroscience.",high citation signal (663),"Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1126/SCIENCE.146.3644.610,734af85c1ba04091c5eb009191d7d5727ddb70a2,https://doi.org/10.1126/SCIENCE.146.3644.610,,paper,unknown,brain; brain in title,
10,1964,THE FACE PREDICTS THE BRAIN: DIAGNOSTIC SIGNIFICANCE OF MEDIAN FACIAL ANOMALIES FOR HOLOPROSENCEPHALY (ARHINENCEPHALY).,"W. Demyer, W. Zeman, C. Palmer",Pediatrics,1964-08-01,656,15,133.58,"EEG, MEG, and Electrophysiology",EEG;ECoG;human;non-human,"Two patients with orbital hypotelorism, flat nose, and bilateral lateral cleft of lip and palate with a hypoplastic philtrumpremaxilla Anlage are described.",high citation signal (656); human evidence signal,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1542/peds.34.2.256,f0ce11c9a052d87bdcb5fa68ec40c00181ff0e5a,https://doi.org/10.1542/peds.34.2.256,,JournalArticle,unknown,brain; cerebral; ecog; brain in title,"Two patients with orbital hypotelorism, flat nose, and bilateral lateral cleft of lip and palate with a hypoplastic philtrumpremaxilla Anlage are described. Both patients had holoprosencephaly (arhinencephaly), a brain defect characterized by an arrest in prosencephalic cleavage with no or incomplete proplasia of frontal poles and olfactory bulbs. The two patients are an intermediate stage in a graded series of median facio-cerebral malformations which begins with cyclopia, and then, as face and brain transform toward normality, extends through ethmocephaly, cebocephaly, median cleft lip, and the two patients presented here. The facies of these patients are diagnostic of the type of brain malformation. Careful attention to face-brain relationships will significantly extend the number oif diagnostic facies which currently can be recognized. Physiological defects include poikilothermia, apnea, seizures, rigidity, and lack of psychomotor development. Useful diagnostic studies include skull roentgenograms to show orbital hypotelorism and absent crista galli, electroencephalography, dermatoglyphics, chromosome studies, and sometimes pneumoencephalography. Some holoprosencephalic patients, such as our first patient, who have few or no extracephalic malformations, have a 46 chromosome karyotype. Others, such as Patient 2, have many extracephalic anomalies. The literature suggests that the latter patients are apt to have 13-15 trisomy. The face predicts the holoprosencephalic brain irrespective of extracephalic anomalies or karyotype."
