rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1977,"THE [14C]DEOXYGLUCOSE METHOD FOR THE MEASUREMENT OF LOCAL CEREBRAL GLUCOSE UTILIZATION: THEORY, PROCEDURE, AND NORMAL VALUES IN THE CONSCIOUS AND ANESTHETIZED ALBINO RAT 1","L. Sokoloff, M. Reivich, C. Kennedy, M. D. Rosiers, C. Patlak, K. Pettigrew, et al.",Journal of Neurochemistry,1977-05-01,5958,227,159.67,General Brain Science and Reviews,non-human,"Positions THE [14C]DEOXYGLUCOSE METHOD FOR THE MEASUREMENT OF LOCAL CEREBRAL GLUCOSE UTILIZATION: THEORY, PROCEDURE, AND NORMAL VALUES IN THE CONSCIOUS AND ANESTHETIZED ALBINO RAT 1 within General Brain Science and Reviews.","high citation signal (5,958)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1111/j.1471-4159.1977.tb10649.x,36978959a76ffd335e3e52399c0b3644d628d50d,https://doi.org/10.1111/j.1471-4159.1977.tb10649.x,https://www.semanticscholar.org/paper/36978959a76ffd335e3e52399c0b3644d628d50d,,,JournalArticle,unknown,cerebral,
2,1977,"Noninvasive, infrared monitoring of cerebral and myocardial oxygen sufficiency and circulatory parameters.",F. Jöbsis,Science,1977-12-23,4035,88,163.45,General Brain Science and Reviews,,"Positions Noninvasive, infrared monitoring of cerebral and myocardial oxygen sufficiency and circulatory parameters. within General Brain Science and Reviews.","high citation signal (4,035); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/SCIENCE.929199,1843a7a03fcaf06cd44044b2315fb00d830f3bd3,https://doi.org/10.1126/science.929199,https://www.semanticscholar.org/paper/1843a7a03fcaf06cd44044b2315fb00d830f3bd3,,,JournalArticle,unknown,cerebral,
3,1977,"The formalin test: A quantitative study of the analgesic effects of morphine, meperidine, and brain stem stimulation in rats and cats","D. Dubuisson, S. G. Dennis",Pain,1977-10-01,2629,105,152.15,General Brain Science and Reviews,non-human;stimulation,"Positions The formalin test: A quantitative study of the analgesic effects of morphine, meperidine, and brain stem stimulation in rats and cats within General Brain Science and Reviews.","high citation signal (2,629)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0304-3959(77)90130-0,380c72213b94414cacef7a2fddcb4c3c3c76ce66,https://doi.org/10.1016/0304-3959(77)90130-0,https://www.semanticscholar.org/paper/380c72213b94414cacef7a2fddcb4c3c3c76ce66,,,JournalArticle,unknown,brain; brain in title,
4,1977,Blood-brain barrier,H. Davson,Nature,1977-04-01,2124,139,160.91,General Brain Science and Reviews,,Positions Blood-brain barrier within General Brain Science and Reviews.,"high citation signal (2,124); recognized venue; open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/266661A0,1ba3590d84c3a172896e48dc4a8ecbbd437524d9,https://doi.org/10.1038/266661a0,https://www.semanticscholar.org/paper/1ba3590d84c3a172896e48dc4a8ecbbd437524d9,https://doi.org/10.1038/266661a0,,paper,unknown,brain; brain in title,
5,1977,Atlas for Stereotaxy of the Human Brain,"G. Schaltenbrand, W. Wahren",Unknown venue,1977,1408,92,140.91,General Brain Science and Reviews,human;connectome,Positions Atlas for Stereotaxy of the Human Brain within General Brain Science and Reviews.,"high citation signal (1,408); human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,d181ed3002e0d5c503be5a565e500d1aa181220b,https://www.semanticscholar.org/paper/d181ed3002e0d5c503be5a565e500d1aa181220b,https://www.semanticscholar.org/paper/d181ed3002e0d5c503be5a565e500d1aa181220b,,,paper,unknown,brain; brain in title,
6,1977,Benzodiazepine receptors in rat brain,"R. Squires, C. Braestrup",Nature,1977-04-21,1404,6,151.66,General Brain Science and Reviews,non-human,Positions Benzodiazepine receptors in rat brain within General Brain Science and Reviews.,"high citation signal (1,404); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/266732A0,a57d4314691b9e9db31358b5492b467167d6744f,https://doi.org/10.1038/266732a0,https://www.semanticscholar.org/paper/a57d4314691b9e9db31358b5492b467167d6744f,,,JournalArticle,unknown,brain; brain in title,
7,1977,Glutamine synthetase: glial localization in brain,"A. Martinez-Hernandez, K. Bell, M. Norenberg",Science,1977-03-25,1192,18,149.52,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Glutamine synthetase: glial localization in brain within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,192); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/science.14400,29ca95721c029430cdde8f19350f23a699360829,https://doi.org/10.1126/science.14400,https://www.semanticscholar.org/paper/29ca95721c029430cdde8f19350f23a699360829,,,JournalArticle,unknown,brain; glia; brain in title,
8,1977,Cortical Evoked Potential and Extracellular K+ and H+ at Critical Levels of Brain Ischemia,"J. Astrup, L. Symon, N. Branston, N. Lassen",Stroke,1977-01-01,1142,26,139.75,"Cerebrovascular, Metabolism, and Brain Injury",,"Positions Cortical Evoked Potential and Extracellular K+ and H+ at Critical Levels of Brain Ischemia within Cerebrovascular, Metabolism, and Brain Injury.","high citation signal (1,142); open-access PDF metadata","Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1161/01.STR.8.1.51,ed21d70960517f57af3b64a53a9b69b4edf7dc10,https://doi.org/10.1161/01.str.8.1.51,https://www.semanticscholar.org/paper/ed21d70960517f57af3b64a53a9b69b4edf7dc10,,,JournalArticle,unknown,brain; cortical; brain in title,
9,1977,Specific benzodiazepine receptors in rat brain characterized by high-affinity (3H)diazepam binding.,"C. Braestrup, R. Squires",Proceedings of the National Academy of Sciences of the United States of America,1977-09-01,1132,22,150.79,General Brain Science and Reviews,non-human,Positions Specific benzodiazepine receptors in rat brain characterized by high-affinity (3H)diazepam binding. within General Brain Science and Reviews.,"high citation signal (1,132); recognized venue; open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1073/PNAS.74.9.3805,a856791617fcdf7f2ad16fde37e2c10be4e8be6d,https://doi.org/10.1073/pnas.74.9.3805,https://www.semanticscholar.org/paper/a856791617fcdf7f2ad16fde37e2c10be4e8be6d,,,JournalArticle,unknown,brain; brain in title,
10,1977,THE ROLE OF EARLY LEFT-BRAIN INJURY IN DETERMINING LATERALIZATION OF CEREBRAL SPEECH FUNCTIONS,"T. Rasmussen, B. Milner",Annals of the New York Academy of Sciences,1977-09-01,1130,38,148.56,"Cerebrovascular, Metabolism, and Brain Injury",,"Positions THE ROLE OF EARLY LEFT-BRAIN INJURY IN DETERMINING LATERALIZATION OF CEREBRAL SPEECH FUNCTIONS within Cerebrovascular, Metabolism, and Brain Injury.","high citation signal (1,130); recognized venue","Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1111/j.1749-6632.1977.tb41921.x,1abba1ca870e4dd9cd49f10cf5efd70391ef289b,https://doi.org/10.1111/j.1749-6632.1977.tb41921.x,https://www.semanticscholar.org/paper/1abba1ca870e4dd9cd49f10cf5efd70391ef289b,,,JournalArticle; CaseReport,unknown,brain; cerebral; brain in title,
11,1977,Thyroid hormones and brain development,Gilman D. Grave,Unknown venue,1977,1010,35,135.54,"Brain Development, Plasticity, and Connectomics",,"Positions Thyroid hormones and brain development within Brain Development, Plasticity, and Connectomics.","high citation signal (1,010); open-access PDF metadata","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1097/00005072-197711000-00013,d88cd65e64b5ef46a46ac42d3dd9832aa5d78c94,https://doi.org/10.1097/00005072-197711000-00013,https://www.semanticscholar.org/paper/d88cd65e64b5ef46a46ac42d3dd9832aa5d78c94,,,paper,unknown,brain; brain in title,
12,1977,Gyral development of the human brain,"J. Chi, E. Dooling, F. Gilles",Transactions of the American Neurological Association,1977-01-01,995,60,133.47,"Brain Development, Plasticity, and Connectomics",human,"Positions Gyral development of the human brain within Brain Development, Plasticity, and Connectomics.",high citation signal (995); human evidence signal,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1002/ana.410010109,29fce1ef66998a5299edf7c220b4976c494fa775,https://doi.org/10.1002/ana.410010109,https://www.semanticscholar.org/paper/29fce1ef66998a5299edf7c220b4976c494fa775,,,JournalArticle,unknown,brain; brain in title,
13,1977,The brain as a dream state generator: an activation-synthesis hypothesis of the dream process.,"J. Hobson, R. McCarley",American Journal of Psychiatry,1977-09-27,947,27,132.58,General Brain Science and Reviews,non-human,Positions The brain as a dream state generator: an activation-synthesis hypothesis of the dream process. within General Brain Science and Reviews.,high citation signal (947),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1176/AJP.134.12.1335,f1af886bfac2ee058ddaf1a6fb61dabe08e19b08,https://doi.org/10.1176/ajp.134.12.1335,https://www.semanticscholar.org/paper/f1af886bfac2ee058ddaf1a6fb61dabe08e19b08,,,JournalArticle,unknown,brain; brain in title,
14,1977,Antischizophrenic drugs: chronic treatment elevates dopamine receptor binding in brain.,"D. R. Burt, D. R. Burt, I. Creese, SolomonH Snyder",Science,1977-04-15,865,1,141.75,General Brain Science and Reviews,,Positions Antischizophrenic drugs: chronic treatment elevates dopamine receptor binding in brain. within General Brain Science and Reviews.,high citation signal (865); recognized venue,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/SCIENCE.847477,fdb4b18e9ec483c3bada837590a08d95f1cea946,https://doi.org/10.1126/science.847477,https://www.semanticscholar.org/paper/fdb4b18e9ec483c3bada837590a08d95f1cea946,,,JournalArticle,unknown,brain; brain in title,
15,1977,Autoradiographic localization of opiate receptors in rat brain. I. Spinal cord and lower medulla.,"S. Atweh, M. Kuhar",Brain Research,1977-03-18,864,8,142.93,General Brain Science and Reviews,non-human,Positions Autoradiographic localization of opiate receptors in rat brain. I. Spinal cord and lower medulla. within General Brain Science and Reviews.,high citation signal (864); recognized venue,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0006-8993(77)90863-0,928210e17800272dd1871684635e9e2abf2c1a49,https://doi.org/10.1016/0006-8993(77)90863-0,https://www.semanticscholar.org/paper/928210e17800272dd1871684635e9e2abf2c1a49,,,JournalArticle,unknown,brain; brain in title,
16,1977,Projections from the amygdaloid complex to the cerebral cortex and thalamus in the rat and cat,"J. Krettek, J. Price",The Journal of comparative neurology,1977-04-15,795,28,143.43,Clinical Neurology and Neurodegeneration,non-human,Positions Projections from the amygdaloid complex to the cerebral cortex and thalamus in the rat and cat within Clinical Neurology and Neurodegeneration.,high citation signal (795); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.901720408,3d236c32acfc9b661e371cb6b839c1785281206d,https://doi.org/10.1002/cne.901720408,https://www.semanticscholar.org/paper/3d236c32acfc9b661e371cb6b839c1785281206d,,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
